region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,year,coefficient
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2045,1.6847620153284994e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2050,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2055,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2060,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2065,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2070,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2075,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2080,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2085,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2090,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2095,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2100,1.6477144183941992e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2015,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2020,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2025,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2030,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2035,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2040,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2045,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2050,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2055,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2060,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2065,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2070,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2075,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2080,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2085,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2090,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2095,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,delivered coal,Central America and Caribbean,2100,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2015,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2020,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2025,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2030,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2035,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2040,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2045,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2050,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2055,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2060,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2065,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2070,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2075,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2080,0
