region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
India,H2 central production,wind,electrolysis,2005,electrolyzer,3.8182
India,H2 central production,wind,electrolysis,2010,electrolyzer,3.8182
India,H2 central production,wind,electrolysis,2015,electrolyzer,3.8182
India,H2 central production,wind,electrolysis,2020,electrolyzer,3.3854
India,H2 central production,wind,electrolysis,2025,electrolyzer,2.342373741903953
India,H2 central production,wind,electrolysis,2030,electrolyzer,1.6206991040234913
India,H2 central production,wind,electrolysis,2035,electrolyzer,1.1213691217557422
India,H2 central production,wind,electrolysis,2040,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2045,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2050,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2055,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2060,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2065,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2070,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2075,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2080,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2085,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2090,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2095,electrolyzer,0.95455
India,H2 central production,wind,electrolysis,2100,electrolyzer,0.95455
Indonesia,H2 central production,solar,electrolysis,1975,electrolyzer,7.0122
Indonesia,H2 central production,solar,electrolysis,1990,electrolyzer,7.0122
Indonesia,H2 central production,solar,electrolysis,2005,electrolyzer,7.0122
Indonesia,H2 central production,solar,electrolysis,2010,electrolyzer,7.0122
Indonesia,H2 central production,solar,electrolysis,2015,electrolyzer,7.0122
Indonesia,H2 central production,solar,electrolysis,2020,electrolyzer,6.21
Indonesia,H2 central production,solar,electrolysis,2025,electrolyzer,4.271308709575048
Indonesia,H2 central production,solar,electrolysis,2030,electrolyzer,2.937854765296564
Indonesia,H2 central production,solar,electrolysis,2035,electrolyzer,2.020689959175165
Indonesia,H2 central production,solar,electrolysis,2040,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2045,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2050,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2055,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2060,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2065,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2070,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2075,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2080,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2085,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2090,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2095,electrolyzer,1.75305
Indonesia,H2 central production,solar,electrolysis,2100,electrolyzer,1.75305
Indonesia,H2 central production,wind,electrolysis,1975,electrolyzer,4.0003
Indonesia,H2 central production,wind,electrolysis,1990,electrolyzer,4.0003
Indonesia,H2 central production,wind,electrolysis,2005,electrolyzer,4.0003
Indonesia,H2 central production,wind,electrolysis,2010,electrolyzer,4.0003
Indonesia,H2 central production,wind,electrolysis,2015,electrolyzer,4.0003
Indonesia,H2 central production,wind,electrolysis,2020,electrolyzer,3.5465
Indonesia,H2 central production,wind,electrolysis,2025,electrolyzer,2.4523894821987153
Indonesia,H2 central production,wind,electrolysis,2030,electrolyzer,1.6958167693215518
Indonesia,H2 central production,wind,electrolysis,2035,electrolyzer,1.1726499954378624
Indonesia,H2 central production,wind,electrolysis,2040,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2045,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2050,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2055,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2060,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2065,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2070,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2075,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2080,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2085,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2090,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2095,electrolyzer,1.000075
Indonesia,H2 central production,wind,electrolysis,2100,electrolyzer,1.000075
Japan,H2 central production,solar,electrolysis,1975,electrolyzer,8.5743
Japan,H2 central production,solar,electrolysis,1990,electrolyzer,8.5743
Japan,H2 central production,solar,electrolysis,2005,electrolyzer,8.5743
Japan,H2 central production,solar,electrolysis,2010,electrolyzer,8.5743
Japan,H2 central production,solar,electrolysis,2015,electrolyzer,8.5743
Japan,H2 central production,solar,electrolysis,2020,electrolyzer,7.5915
Japan,H2 central production,solar,electrolysis,2025,electrolyzer,5.214726932571725
Japan,H2 central production,solar,electrolysis,2030,electrolyzer,3.5820821947294887
Japan,H2 central production,solar,electrolysis,2035,electrolyzer,2.4605915162407297
Japan,H2 central production,solar,electrolysis,2040,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2045,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2050,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2055,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2060,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2065,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2070,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2075,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2080,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2085,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2090,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2095,electrolyzer,2.143575
Japan,H2 central production,solar,electrolysis,2100,electrolyzer,2.143575
Japan,H2 central production,wind,electrolysis,1975,electrolyzer,3.5746000000000002
Japan,H2 central production,wind,electrolysis,1990,electrolyzer,3.5746000000000002
Japan,H2 central production,wind,electrolysis,2005,electrolyzer,3.5746000000000002
Japan,H2 central production,wind,electrolysis,2010,electrolyzer,3.5746000000000002
Japan,H2 central production,wind,electrolysis,2015,electrolyzer,3.5746000000000002
Japan,H2 central production,wind,electrolysis,2020,electrolyzer,3.17
Japan,H2 central production,wind,electrolysis,2025,electrolyzer,2.1953013980326683
Japan,H2 central production,wind,electrolysis,2030,electrolyzer,1.5202991256164635
Japan,H2 central production,wind,electrolysis,2035,electrolyzer,1.0528437841935854
Japan,H2 central production,wind,electrolysis,2040,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2045,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2050,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2055,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2060,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2065,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2070,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2075,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2080,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2085,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2090,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2095,electrolyzer,0.89365000000000006
Japan,H2 central production,wind,electrolysis,2100,electrolyzer,0.89365000000000006
Mexico,H2 central production,solar,electrolysis,1975,electrolyzer,6.0658
Mexico,H2 central production,solar,electrolysis,1990,electrolyzer,6.0658
Mexico,H2 central production,solar,electrolysis,2005,electrolyzer,6.0658
Mexico,H2 central production,solar,electrolysis,2010,electrolyzer,6.0658
Mexico,H2 central production,solar,electrolysis,2015,electrolyzer,6.0658
Mexico,H2 central production,solar,electrolysis,2020,electrolyzer,5.3731
Mexico,H2 central production,solar,electrolysis,2025,electrolyzer,3.6997856276301366
Mexico,H2 central production,solar,electrolysis,2030,electrolyzer,2.547582157491676
Mexico,H2 central production,solar,electrolysis,2035,electrolyzer,1.75420294643589
Mexico,H2 central production,solar,electrolysis,2040,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2045,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2050,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2055,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2060,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2065,electrolyzer,1.51645
